Symbol,Name
0182.HK,CONCORD NE
2228.HK,QUANTUMPH-P
3330.HK,LINGBAO GOLD
0605.HK,C FIN SERVICES
2356.HK,DAHSING BANKING
9955.HK,CLOUDR
0337.HK,GREENLAND HK
81299.HK,AIA-R
1698.HK,TME-SW
2521.HK,SHENGHUI CLEAN
3369.HK,QHD PORT
9985.HK,WL DELICIOUS
0069.HK,SHANGRI-LA ASIA
1167.HK,JACOBIO-B
1755.HK,S-ENJOY SERVICE
2192.HK,MEDLIVE
1065.HK,TIANJIN CAPITAL
2246.HK,GOGOX
0173.HK,K. WAH INT'L
0769.HK,CHINA RAREEARTH
3709.HK,EEKA FASHION
0873.HK,SHIMAO SERVICES
3633.HK,ZHONGYU ENERGY
1696.HK,SISRAM MED
6626.HK,YUEXIU SERVICES
0581.HK,CHINA ORIENTAL
2256.HK,ABBISKO-B
0227.HK,FIRST SHANGHAI
2218.HK,ANDRE JUICE
0708.HK,EVERG VEHICLE
1176.HK,ZHUGUANG HOLD
1461.HK,ZHONGTAIFUTURES
0116.HK,CHOW SANG SANG
1600.HK,TIAN LUN GAS
9668.HK,CBHB
1112.HK,H&H INTL HLDG
3931.HK,CALB
0659.HK,NWS HOLDINGS
0215.HK,HUTCHTEL HK
0517.HK,COSCO SHIP INTL
2001.HK,NEW HIGHER EDU
1855.HK,ZONQING LTD
1686.HK,SUNEVISION
9996.HK,PEIJIA-B
3382.HK,TIANJINPORT DEV
0242.HK,SHUN TAK HOLD
1763.HK,CIRC
0305.HK,WULING MOTORS
2402.HK,SINOHYTEC
2276.HK,CONANT OPTICAL
0113.HK,DICKSON CONCEPT
3978.HK,BESTSTUDY EDU
0863.HK,OSL GROUP
0716.HK,SINGAMAS CONT
2660.HK,ZENGAME
82388.HK,BOC HONG KONG-R
1263.HK,PC PARTNER
0207.HK,JOY CITY PPT
0993.HK,HUARONG INT FIN
2678.HK,TEXHONG INTL GP
6998.HK,GENOR-B
0434.HK,BOYAA
1668.HK,CHINASOUTHCITY
1563.HK,ALLI INTL ED LE
1733.HK,E-COMMODITIES
9939.HK,KINTOR PHARMA-B
1382.HK,PACIFICTEXTILES
1760.HK,INTRON TECH
9990.HK,ARCHOSAUR GAMES
0611.HK,CNE TECH CORP
0041.HK,GREAT EAGLE H
2156.HK,C&D PROPERTY
6138.HK,HARBIN BANK
2556.HK,MARKETINGFORCE
0315.HK,SMARTONE TELE
0451.HK,GCL NEWENERGY
2137.HK,BRII - B
0838.HK,EVA HOLDINGS
1200.HK,MIDLAND HOLDING
81810.HK,XIAOMI-WR
1890.HK,CHINA KEPEI
2550.HK,EASOU TECH
2257.HK,SIRNAOMICS-B
6830.HK,HUAZHONG IN-V
0511.HK,TVB
2505.HK,EDA GROUP HLDGS
2219.HK,CHAOJU EYE CARE
2488.HK,LAUNCH TECH
2126.HK,JW THERAP-B
80016.HK,SHK PPT-R
1205.HK,CITIC RESOURCES
80020.HK,SENSETIME-WR
2160.HK,CARDIOFLOW-B
1830.HK,PERFECT MEDICAL
1475.HK,NISSIN FOODS
0698.HK,TONGDA GROUP
2138.HK,EC HEALTHCARE
1091.HK,SOUTH MANGANESE
0327.HK,PAX GLOBAL
2487.HK,CUTIA-B
1233.HK,TIMES CHINA
3818.HK,CHINA DONGXIANG
1045.HK,APT SATELLITE
1234.HK,CHINA LILANG
0945.HK,MANULIFE-S
0866.HK,CHINA QINFA
9993.HK,RADIANCE HLDGS
1521.HK,FRONTAGE
1578.HK,BANK OF TIANJIN
2139.HK,BANK OF GANSU
3316.HK,BINJIANG SER
1611.HK,SINOHOPE TECH
6169.HK,YUHUA EDU
0086.HK,SUN HUNG KAI CO
2616.HK,CSTONE PHARMA-B
8491.HK,COOL LINK
6610.HK,FLOWING CLOUD
2696.HK,HENLIUS
3939.HK,WANGUO GOLD GP
2416.HK,EDIANYUN
0717.HK,EMPEROR CAPITAL
9933.HK,GHW INTL
0382.HK,EDVANTAGE GROUP
2438.HK,MOBVOI
0650.HK,PRODUCTIVE TECH
9886.HK,DINGDANG HEALTH
9860.HK,ADICON HOLDINGS
1783.HK,ENVISION GREEN
1889.HK,SANAI HEALTH GP
0636.HK,KERRY LOG NET
0830.HK,CSC DEVELOPMENT
0815.HK,CHI SILVER GP
0400.HK,INGDAN
2166.HK,SMART-CORE
0563.HK,SH IND URBAN
2232.HK,CRYSTAL INTL
2399.HK,CN ANCHU ENERGY
8017.HK,TRADEGO
3300.HK,CHINA GLASS
2511.HK,HIGHTIDE-B
0978.HK,CHI MER LAND
8137.HK,HONBRIDGE
0709.HK,GIORDANO INT'L
1949.HK,PLATT NERA
0398.HK,ORIENTAL WATCH
1300.HK,TRIGIANT
1137.HK,HK TECH VENTURE
2136.HK,LIFESTYLE CHI
0917.HK,QUNABOX GROUP
3833.HK,XINXIN MINING
0082.HK,CRAZY SPORTS
80011.HK,HANGSENG BANK-R
0330.HK,ESPRIT HOLDINGS
2419.HK,DEKON AGR
9669.HK,BEISEN HOLDING
3662.HK,STARJOY W&T
0568.HK,SHANDONG MOLONG
0882.HK,TIANJIN DEV
1878.HK,SOUTHGOBI
2559.HK,DIDA INC
0951.HK,CHAOWEI POWER
0845.HK,GLORIOUS PPT H
9930.HK,HORIZON CD
6959.HK,CHANGJIU HLDGS
1523.HK,PLOVER BAY TECH
1980.HK,TIANGE
2533.HK,BLACK SESAME
1680.HK,MACAU LEGEND
3882.HK,SKYLIGHT HLDG
1837.HK,NATURAL FOOD IH
80883.HK,CNOOC-R
0139.HK,CENTRALWEALTHGP
1697.HK,SDITC
2149.HK,BATELAB
2209.HK,YESASIA HLDGS
6996.HK,ANTENGENE-B
0587.HK,CONCH ENVIRO
6158.HK,ZHENRO PPT
81024.HK,KUAISHOU-WR
6601.HK,CHEERWIN GP
2225.HK,JINHAI MED TECH
0439.HK,KUANGCHI
1966.HK,CHINA SCE GROUP
6623.HK,LUFAX
2512.HK,CLOUD FACTORY
2552.HK,HUA MEDICINE-B
1765.HK,XJ INTL HLDGS
0658.HK,C TRANSMISSION
2142.HK,HBM HOLDINGS-B
6638.HK,OCFT
0365.HK,SINO ICT
2324.HK,CAPITAL VC
1709.HK,DL HOLDINGS GP
0419.HK,HONY MEDIA
82331.HK,LI NING-R
2772.HK,ZHONGLIANG HLDG
6989.HK,EXCELLENCE CM
8490.HK,NICHE-TECH SEMI
0381.HK,KIU HUNG INT'L
1921.HK,DALIPAL HLDG
1640.HK,RUICHENG CHINA
2309.HK,ZO FUTURE GROUP
2722.HK,CHONGQING M&E
9909.HK,POWERLONG CM
6058.HK,CISI FIN
9600.HK,NEWLINK TECH
0204.HK,CAPITAL REALM
1497.HK,YAN PALACE
3913.HK,KWG LIVING
3698.HK,HUISHANG BANK
6086.HK,FANGZHOU JIANKE
0816.HK,JINMAO SERVICES
1912.HK,CONTEL
2598.HK,LIANLIAN
3337.HK,ANTON OILFIELD
1247.HK,MIKO INTL
1981.HK,CATHAY GP HLDGS
2217.HK,TAM JAI INTL
1905.HK,HAITONG UT
1165.HK,SFCE
8481.HK,SHENGLONG INTL
2216.HK,BRONCUS-B
86618.HK,JD HEALTH-R
3989.HK,CAPITAL ENV
2002.HK,SUNSHINE PAPER
6622.HK,ZHAOKE OPHTH-B
2163.HK,BROAD HOMES
3680.HK,RUIHE DATA
2291.HK,SCIENTECH
3329.HK,BOCOM INTL
0933.HK,VIVA GOODS
1244.HK,3D MEDICINES
1777.HK,FANTASIA
1857.HK,CEB WATER
2886.HK,BINHAI INV
1967.HK,CONFIDENCE IN
1222.HK,WANG ON GROUP
8299.HK,GRAND T G GOLD
6609.HK,HEARTCARE-B
1286.HK,IMPRO PRECISION
6968.HK,GANGLONG CHINA
0913.HK,HARBOUR DIGITAL
3813.HK,POU SHENG INT'L
2148.HK,VESYNC
6668.HK,E-STAR CM
1126.HK,DREAM INT'L
80175.HK,GEELY AUTO-R
1354.HK,KINGFARPROPERTY
3303.HK,JUTAL OIL SER
0256.HK,CITYCHAMP
82020.HK,ANTA SPORTS-R
0486.HK,RUSAL
0035.HK,FE CONSORT INTL
1450.HK,BE FRIENDS HLDG
9879.HK,MIGAO GROUP
2100.HK,BAIOO
1599.HK,UCD
0340.HK,TONGGUAN GOLD
8268.HK,SMART CITY DEV
2415.HK,MEDSCI
3681.HK,SINOMAB BIO-B
1672.HK,ASCLETIS-B
0279.HK,ARTA TECHFIN
1355.HK,LEGEND STRAT
0842.HK,LEOCH INT'L
0245.HK,CHINA VERED FIN
0560.HK,CHU KONG SHIP
1183.HK,MECOM POWER
6988.HK,JOY SPREADER
2545.HK,ZHONGGAN COMM
2522.HK,RIMAG GROUP
0120.HK,COSMOPOL INT'L
1223.HK,SYMPHONY HOLD
1906.HK,BONNY HLDG
2531.HK,CARLINK TECH
1848.HK,CALC
2390.HK,ZHIHU-W
3838.HK,CHINA STARCH
1217.HK,CH INNOVATION
0029.HK,DYNAMIC HOLD
1257.HK,CEB GREENTECH
0062.HK,TRANSPORT INT'L
2516.HK,FAR INTL
8391.HK,CORNERSTONE TEC
6669.HK,ACOTEC-B
0088.HK,TAI CHEUNG HOLD
2410.HK,TYK MEDICINES-B
9928.HK,TIMES NEIGHBOR
1143.HK,CN ENGY STORAGE
6667.HK,MEGA GENOMICS
8158.HK,CRMI
0737.HK,BAY AREA DEV
0547.HK,DIGITAL DOMAIN
0672.HK,ZHONGAN GROUP
